Domain,Term,Definition,Synonyms,GovernanceStatus,Source
Properties,Land Parcel,"A uniquely identified area of land managed by the company, characterized by name, location, type, status, boundaries (as applicable), and related documentation.",Property; Parcel; Site,Needs Validation,Gold Prospecting Narrative (Properties section)
Properties,Prospect,"A land parcel identified for exploration that may later be converted into a claim, mineral lease, or private land parcel depending on ownership and mineral findings.",Exploration site; Prospect area,In Review,Gold Prospecting Narrative (Properties section)
Properties,Claim,"A parcel of public land for which exclusive mineral rights have been filed and approved by the managing agency; claims have corners/boundaries specified for filing and may be active, inactive, or abandoned.",Mining claim; Filed claim,Needs Validation,Gold Prospecting Narrative (Properties section)
Properties,Mineral Lease,"A parcel of private land where mineral rights have been negotiated and leased to the company, with defined start and expiration dates.",Lease; Mineral rights lease,Needs Validation,Gold Prospecting Narrative (Properties section)
Properties,Private Land,"A land parcel owned outright by the company; may include surface ownership alone or both surface and mineral rights and can be used for mining operations, equipment storage, or other activities.",Owned land; Company-owned land,Needs Validation,Gold Prospecting Narrative (Properties section)
Properties,Land Parcel Status,"A governance/operational state of a land parcel. Claims can be active, inactive, or abandoned; prospects, mineral leases, and private land parcels may be active or inactive.",Parcel status; Property status,Needs Validation,Gold Prospecting Narrative (Boundaries section)
Properties,Boundary Corner,A corner point defining a claim boundary as declared in claim filing; corners are specified using geographic coordinates and may reference natural landmarks as notes.,Corner point; Claim corner,Needs Validation,Gold Prospecting Narrative (Boundaries section)
Properties,Land Parcel Point,A geographic point used to define the outline of a parcel boundary and to store mapping and legal description notes.,Boundary point; GPS point,Needs Validation,Gold Prospecting Narrative (Boundaries section)
Properties,Acreage,"The approximate size of a land parcel in acres, calculated using GPS corner coordinates and stored for reference.",Acres; Parcel size,Needs Validation,Gold Prospecting Narrative (Acres section)
Properties,Parcel Conversion,"The process of converting all or part of a prospect into a claim, mineral lease, or private land parcel once sufficient minerals are confirmed; the original prospect and its details must be retained for history.",Prospect conversion; Reclassification,In Review,Gold Prospecting Narrative (Conversion section)
Parties,Party,"An individual or organization associated with mining operations (e.g., partners, contractors, workers, laboratories, refineries, surveyors), with contact details and notes.",Person; Organization; Entity,Needs Validation,Gold Prospecting Narrative (Party Details section)
Parties,Land Parcel Party Role,"A role that a party plays with respect to a land parcel (e.g., prospector, partner, worker, stakeholder), used to manage permissions, responsibilities, and business relationships tied to the property.",Party role; Parcel role,Needs Validation,Gold Prospecting Narrative (Party Interest/Involvement section)
Parties,Laboratory,"A party that performs assay analysis on ore samples and returns assay reports used for decision-making (e.g., whether to file a claim or continue working a property).",Lab; Assay lab,Needs Validation,Gold Prospecting Narrative (Ore Samples section)
Parties,Refinery,"A party that receives extracted material payloads and separates/purifies minerals, returning refined minerals while retaining a predetermined fee (often a percentage by weight) and possibly selling minerals on the market as agreed.",Mineral refinery; Refiner,Needs Validation,Gold Prospecting Narrative (Refinement section)
Parties,Surveyor,A party responsible for collecting ore samples; recorded to support follow-up and traceability regarding sample collection.,Sample collector; Field surveyor,Needs Validation,Gold Prospecting Narrative (Surveyor section)
Mining Methods,Mining Type,A broad category of mining based on the nature of deposits. In this case study: placer mining and hard-rock mining.,Mining category,Needs Validation,Gold Prospecting Narrative (Types of Mining and Methods Used section)
Mining Methods,Placer Mining,"Extraction of valuable minerals from loose, unconsolidated alluvial deposits found in streambeds, riverbeds, and ancient sediment layers.",Alluvial mining,Needs Validation,Gold Prospecting Narrative (Types of Mining and Methods Used section)
Mining Methods,Hard-Rock Mining,"Extraction of minerals directly from solid rock formations by breaking, blasting, and processing parent rock to release embedded minerals.",Lode mining,Needs Validation,Gold Prospecting Narrative (Types of Mining and Methods Used section)
Mining Methods,Mining Method,"A specific technique used within a mining type to extract minerals (e.g., panning, sluicing, high-banking, dry-washing, suction dredging; drilling, blasting, cut-and-fill, block caving).",Technique; Method option,In Review,Gold Prospecting Narrative (Mining Methods/Techniques section)
Mining Methods,Mining Method Legality,"The legal restriction status of a mining method by jurisdiction, typically categorized as legal, restricted, or banned.",Legal status; Regulatory status,Needs Validation,Gold Prospecting Narrative (Mining Methods/Techniques section)
Ore Samples & Assays,Ore Sample,"A physical sample of ore deposit material (often dirt, gravel, sand) collected from a land parcel before mining; samples may be sent to laboratories for assay analysis.",Sample; Ore deposit sample,In Review,Gold Prospecting Narrative (About the Minerals and Ore Samples section)
Ore Samples & Assays,Assay,A laboratory analysis of an ore sample to determine the presence and relative quantities of certain minerals; results are returned in an assay report.,Assay test; Lab analysis,Needs Validation,Gold Prospecting Narrative (Sufficient Expected Minerals? section)
Ore Samples & Assays,Assay Order,A request sent to a laboratory to perform an assay on an ore sample; may be repeated for comparative reports and includes associated requests and returned reports.,Lab request; Assay request,Needs Validation,Gold Prospecting Narrative (Documents section under Ore Samples)
Ore Samples & Assays,Assay Report,"A document produced by a laboratory in response to an assay order, used to support decisions such as filing a claim or continuing work on a property.",Lab report; Assay results report,Needs Validation,Gold Prospecting Narrative (Sufficient Expected Minerals? section)
Ore Samples & Assays,Sufficient Mineral Interest,"A record of whether minerals expected/found on a property are present in sufficient quantity and accessibility to warrant mining efforts, based on assay results.",Sufficient minerals; Mineral sufficiency,In Review,Gold Prospecting Narrative (Sufficient Expected Minerals? section)
Minerals & Market,Mineral,"A naturally occurring substance of value tracked by the company; gold is the primary mineral of interest, with other minerals (e.g., silver, copper, platinum, uranium) possibly present.",Commodity mineral,Needs Validation,Gold Prospecting Narrative (About the Minerals and Ore Samples section)
Minerals & Market,Hazardous Mineral,A mineral requiring special precautions and typically avoided by the company (example given: uranium).,Dangerous mineral,Needs Validation,Gold Prospecting Narrative (About the Minerals and Ore Samples section)
Mining Production,Site Material Payload,"A record of extracted material shipped from a land parcel, capturing logistics such as container type/identifier, weights, moisture, shipment status, approvals, and refinery receiving details; may be linked to an ore sample for comparison.",Payload; Shipment payload,In Review,Gold Prospecting Narrative (Payloads section)
Mining Production,Shipment Approval,"An approval action by a party associated with a site material payload for shipment, supporting transportation and accountability.",Payload approval; Shipping approval,Needs Validation,Gold Prospecting Narrative (Payloads section)
Mining Production,Refinement,The process where extracted material is sent to a refinery to separate and purify minerals; outputs include refined minerals and refinery reports/invoices.,Refining; Mineral purification,Needs Validation,Gold Prospecting Narrative (Refinement and Documents sections)
Mining Production,Refined Mineral,"A purified mineral output returned from the refinery to the company, after the refiner retains a predetermined fee (often by weight).",Refined output; Purified mineral,Needs Validation,Gold Prospecting Narrative (Refinement section)
