Identifier,Domain,Term,Definition,Synonyms,GovernanceStatus,Source
15f83ca4-07a1-4bc6-b63e-4721a3b631b8,Properties,Land Parcel,"A uniquely identified area of land managed by the company, characterized by name, location, type, status, boundaries (as applicable), and related documentation.",Property; Parcel; Site,Needs Validation,Gold Prospecting Narrative (Properties section)
fea18d5b-133e-4456-b5cd-493b4aaf227d,Properties,Prospect,"A land parcel identified for exploration that may later be converted into a claim, mineral lease, or private land parcel depending on ownership and mineral findings.",Exploration site; Prospect area,In Review,Gold Prospecting Narrative (Properties section)
c339c2d3-76ad-4480-858c-edc4967b91b3,Properties,Claim,"A parcel of public land for which exclusive mineral rights have been filed and approved by the managing agency; claims have corners/boundaries specified for filing and may be active, inactive, or abandoned.",Mining claim; Filed claim,Needs Validation,Gold Prospecting Narrative (Properties section)
db943f55-8b61-49ed-84f6-761f599a8b1e,Properties,Mineral Lease,"A parcel of private land where mineral rights have been negotiated and leased to the company, with defined start and expiration dates.",Lease; Mineral rights lease,Needs Validation,Gold Prospecting Narrative (Properties section)
a21d6031-fde0-4930-b517-a73de59a9912,Properties,Private Land,"A land parcel owned outright by the company; may include surface ownership alone or both surface and mineral rights and can be used for mining operations, equipment storage, or other activities.",Owned land; Company-owned land,Needs Validation,Gold Prospecting Narrative (Properties section)
7e8f1823-e108-44e3-aca6-365ebceb7c5b,Properties,Land Parcel Status,"A governance/operational state of a land parcel. Claims can be active, inactive, or abandoned; prospects, mineral leases, and private land parcels may be active or inactive.",Parcel status; Property status,Needs Validation,Gold Prospecting Narrative (Boundaries section)
523650d1-9507-4c83-acc8-3093ab3b3a3c,Properties,Boundary Corner,A corner point defining a claim boundary as declared in claim filing; corners are specified using geographic coordinates and may reference natural landmarks as notes.,Corner point; Claim corner,Needs Validation,Gold Prospecting Narrative (Boundaries section)
b26957e6-d44b-4f2b-9248-8f3151311260,Properties,Land Parcel Point,A geographic point used to define the outline of a parcel boundary and to store mapping and legal description notes.,Boundary point; GPS point,Needs Validation,Gold Prospecting Narrative (Boundaries section)
e1941693-5a9a-494f-82b3-e93ef6f6dbb2,Properties,Acreage,"The approximate size of a land parcel in acres, calculated using GPS corner coordinates and stored for reference.",Acres; Parcel size,Needs Validation,Gold Prospecting Narrative (Acres section)
59f2c9a1-2d1b-49e8-8978-498cec95fabe,Properties,Parcel Conversion,"The process of converting all or part of a prospect into a claim, mineral lease, or private land parcel once sufficient minerals are confirmed; the original prospect and its details must be retained for history.",Prospect conversion; Reclassification,In Review,Gold Prospecting Narrative (Conversion section)
